ID NUMBER,refractive index,Na,Mg,Al,Si,K,Ca,Ba,Fe,Class
29,1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0.0,0.0,1
28,1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0.0,0.0,1
66,1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0.0,0.0,1
27,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0,1
54,1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0.0,0.0,1
9,1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,1
21,1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0.0,0.19,1
67,1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0.0,0.17,1
53,1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0.0,0.0,1
11,1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0.0,0.24,1
3,1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,1
45,1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0.0,0.3,1
70,1.523,13.31,3.58,0.82,71.99,0.12,10.17,0.0,0.03,1
42,1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0.0,0.0,1
73,1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0.0,0.0,2
90,1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0.0,0.09,2
111,1.52664,11.23,0.0,0.77,73.21,0.0,14.68,0.0,0.0,2
134,1.518,13.71,3.93,1.54,71.81,0.54,8.21,0.0,0.15,2
88,1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0.0,0.1,2
129,1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,2
143,1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,2
105,1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0.0,0.0,2
93,1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0.0,0.19,2
104,1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0.0,0.0,2
74,1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0.0,0.0,2
138,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0.0,0.0,2
72,1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0.0,0.32,2
141,1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0.0,0.0,2
137,1.51806,13.0,3.8,1.08,73.07,0.56,8.38,0.0,0.12,2
161,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0.0,0.0,3
150,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.0,0.0,3
156,1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0.0,0.0,3
176,1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0.0,0.28,5
169,1.51666,12.86,0.0,1.83,73.88,0.97,10.17,0.0,0.0,5
182,1.51888,14.99,0.78,1.74,72.5,0.0,9.95,0.0,0.0,6
202,1.51653,11.95,0.0,1.19,75.18,2.7,8.93,0.0,0.0,7
211,1.51685,14.92,0.0,1.99,73.06,0.0,8.4,1.59,0.0,7
207,1.51645,14.94,0.0,1.87,73.11,0.0,8.67,1.38,0.0,7
203,1.51514,14.85,0.0,2.42,73.72,0.0,8.39,0.56,0.0,7
204,1.51658,14.8,0.0,1.99,73.11,0.0,8.28,1.71,0.0,7
